Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date
Happier,Ed Sheeran,รท (Deluxe),3T4tUhGYeRNVUGevb0wThu,2RttW7RAu5nOAfq6YFvApB,77,2017-03-03
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,7qEHsqek33rTcFNT9PFqLf,88,2019-05-17
Let It Go,James Bay,Chaos And The Calm,5BxvswQSGWrBbVCdx6mFGO,13HVjjWUZFaWilh2QUJKsP,65,2015-03-23
"i hate u, i love u (feat. olivia o'brien)","gnash, Olivia O'Brien",us,3L0H4RjVXpEkwfDgi3XOdf,7vRriwrloYVaoAe3a9wJHe,76,2016-03-25
Dancing With A Stranger (With Normani) - Acoustic,"Sam Smith, Normani",Dancing With A Stranger (With Normani) [Acoustic],0JtZ4dyxvzFUCjeVrgPkHZ,29f11nLUcMYQ2Ndbnb7N0o,58,2019-02-15
You're Beautiful,James Blunt,Back to Bedlam,1ekaxA9Q5GzUPCepx4wzMF,0vg4WnUWvze6pBOJDTq99k,79,2005-08-08
Here Without You,"3 Doors Down, Jack Joseph Puig",The Greatest Hits,22S5arZONb8LdaURbpzpDR,135cNW8kQtiTId7qcsJfVC,55,2012-01-01
Jealous,Labrinth,Jealous,2JgVVnno2fzdmV1BqwdQBi,4L2K7JKseFCBoHMZEAszW0,1,2014-11-21
Waves,Dean Lewis,A Place We Knew,61G7KL6rpj167r6H4CzS8C,6w8pFOKn42O418qwcQElZ3,78,2019-03-22
All I Want,Kodaline,The Kodaline EP,13UF27he6juTSHhQHHjnL1,1XczdQt6RKNkEQfPqUsi3q,0,2012-09-07
Dancing On My Own,Calum Scott,Only Human (Deluxe),6Vip5A5NmEazvKuxj6GLYf,2BOqDYLOJBiMOXShCV1neZ,81,2018-03-09
Never on the Day You Leave,John Mayer,The Search for Everything,0jZFu2tihRJ65iYAo0oOtP,3TQbr3G3U5wlwEJejmqC1F,52,2017-04-14
All I Want,Kodaline,In A Perfect World,29Tc7Ue6KVfc5mzXxoMgEL,2PwXOevGUSkU8qaYZjgLq2,0,2013-10-08
idfc,blackbear,deadroses,1TkwzY3l4LqAfrQwBAx45Q,6y6jbcPG4Yn3Du4moXaenr,78,2015-02-14
lovely (with Khalid),"Billie Eilish, Khalid",lovely (with Khalid),2sBB17RXTamvj7Ncps15AK,0u2P5u6lvoDfwTYjAADbn4,89,2018-04-19
Can I Be Him,James Arthur,Back from the Edge,7oiJYvEJHsmYtrgviAVIBD,0VhgEqMTNZwYL1ARDLLNCX,82,2016-10-28
did you/fall apart - A COLORS SHOW,Prateek Kuhad,did you/fall apart - A COLORS SHOW,2NUhaZdhep3i5pzZHVGeIe,2c8ejkfQDMUjoGTs99Fmkg,0,2019-04-01
Bad,James Bay,Oh My Messy Mind,2aIsEIVLrAP75xdEhdVm1d,3xRcQ04b0l5RiU2w7lJhCD,55,2019-05-10
Supermarket Flowers,Ed Sheeran,รท (Deluxe),3T4tUhGYeRNVUGevb0wThu,4VuS959DSpr82t3qBqCrWG,76,2017-03-03
